location_name,location_code,week_start,pda_water_ng_ml,tda_water_ng_ml,pn_total_cells_l,pn_seriata_cells_l,alexandrium_cells_l,dinophysis_cells_l,total_phyto_cells_l,insitu_sst_c,insitu_chl_mg_m3,nitrate_um,silicate_um,n_samples,hazard_truth_status,insitu_physical_status
Bodega Marine Lab,BML,2023-02-27,,,0.0,0.0,0.0,0.0,1375.0,9.6,,,,1,partial,partial
Bodega Marine Lab,BML,2023-03-06,,,9.0,9.0,0.0,0.0,3950.0,9.5,,,,1,partial,partial
Bodega Marine Lab,BML,2023-03-13,,,235.0,235.0,0.0,0.0,41124.0,10.5,,,,1,partial,partial
Bodega Marine Lab,BML,2023-03-20,,,99.0,99.0,0.0,0.0,24365.0,10.9,,,,1,partial,partial
Bodega Marine Lab,BML,2023-03-27,,,14.5,14.5,0.0,0.0,2873319.0,10.65,,,,2,partial,partial
Bodega Marine Lab,BML,2023-04-03,,,3776.0,3776.0,0.0,0.0,1461438.0,10.2,,,,1,partial,partial
Bodega Marine Lab,BML,2023-04-10,,,1.0,1.0,0.0,0.0,2299.0,11.7,,,,1,partial,partial
Bodega Marine Lab,BML,2023-04-17,,,0.0,0.0,0.0,0.0,756.0,8.8,,,,1,partial,partial
Bodega Marine Lab,BML,2023-04-24,,,0.0,0.0,0.0,0.0,9138.0,9.2,,,,2,partial,partial
Bodega Marine Lab,BML,2023-05-01,,,0.0,0.0,0.0,0.0,211622.0,9.7,,,,1,partial,partial
Bodega Marine Lab,BML,2023-05-08,,,0.0,0.0,0.0,0.0,1294567.0,13.0,,,,1,partial,partial
Bodega Marine Lab,BML,2023-05-15,,,7.0,7.0,0.0,0.0,3500.0,11.2,,,,1,partial,partial
Bodega Marine Lab,BML,2023-05-22,,,372.0,372.0,0.0,74.5,63077.0,10.2,,,,2,partial,partial
Bodega Marine Lab,BML,2023-05-29,,,0.0,0.0,0.0,0.0,107.0,13.9,,,,1,partial,partial
Bodega Marine Lab,BML,2023-06-05,,,281.5,281.5,0.0,0.0,65669.0,12.7,,,,2,partial,partial
Bodega Marine Lab,BML,2023-06-12,,,7.0,7.0,0.0,21.0,284.0,14.3,,,,1,partial,partial
Bodega Marine Lab,BML,2023-06-19,,,0.0,0.0,0.0,0.0,819.0,10.7,,,,1,partial,partial
