location_code,week_start,cells,cells_log10,da,da_cat,cens,lod,t_days,t_years
CPP,2009-05-18,17060.4258,4.232015321743463,2.5,1.0,1.0,2.5,1869,5.117043121149897
CPP,2009-05-25,0.0,0.0,2.5,1.0,1.0,2.5,1876,5.136208076659822
CPP,2009-06-01,0.0,0.0,2.5,1.0,1.0,2.5,1883,5.155373032169747
CPP,2009-06-08,7463.93605,3.8730260915987427,2.5,1.0,1.0,2.5,1890,5.174537987679671
CPP,2009-06-15,39452.23535,4.59608262318646,,,,,1897,5.193702943189596
CPP,2009-06-22,17060.425300000003,4.2320153090160835,,,,,1904,5.212867898699521
CPP,2009-06-29,0.0,0.0,,,,,1911,5.232032854209446
CPP,2009-07-06,0.0,0.0,,,,,1918,5.25119780971937
CPP,2009-07-13,0.0,0.0,,,,,1925,5.270362765229295
CPP,2009-07-20,4265.10645,3.6300316879795163,,,,,1932,5.28952772073922
CPP,2009-07-27,1599.4149,3.204232586044661,,,,,1939,5.308692676249144
CPP,2009-08-03,14927.872050000002,4.174026995871968,,,,,1946,5.327857631759069
CPP,2009-08-10,5331.3828,3.7269213189039077,,,,,1953,5.347022587268994
CPP,2009-08-17,200459.9978,5.302029887739602,,,,,1960,5.366187542778919
CPP,2009-08-24,325214.35644999996,5.512171044499017,,,,,1967,5.385352498288843
CPP,2009-08-31,371064.25,5.569450284879936,,,,,1974,5.404517453798768
CPP,2009-09-07,25590.63765,4.408098077977911,,,,,1981,5.423682409308693
CPP,2009-09-14,4798.24465,3.681172889427484,,,,,1988,5.4428473648186175
CPP,2009-09-21,1066.2766,3.028276987640199,2.5,1.0,1.0,2.5,1995,5.462012320328542
CPP,2009-09-28,0.0,0.0,,,,,2002,5.4811772758384665
CPP,2009-10-05,7463.936,3.8730260886898464,,,,,2009,5.500342231348392
CPP,2009-10-12,14927.8721,4.1740269973265125,,,,,2016,5.519507186858316
CPP,2009-10-19,0.0,0.0,,,,,2023,5.538672142368241
CPP,2009-10-26,2132.5532,3.3291034764329126,,,,,2030,5.557837097878165
CPP,2009-11-02,25590.6387,4.408098095796591,,,,,2037,5.577002053388091
CPP,2009-11-09,0.0,0.0,,,,,2044,5.596167008898015
CPP,2009-11-16,0.0,0.0,,,,,2051,5.61533196440794
CPP,2009-11-23,0.0,0.0,,,,,2058,5.634496919917864
CPP,2009-11-30,0.0,0.0,,,,,2065,5.653661875427789
CPP,2009-12-07,0.0,0.0,,,,,2072,5.672826830937714
CPP,2009-12-14,0.0,0.0,,,,,2079,5.691991786447638
CPP,2009-12-21,8530.2129,3.931010780092535,,,,,2086,5.711156741957564
CPP,2009-12-28,0.0,0.0,,,,,2093,5.730321697467488
CPP,2010-01-04,0.0,0.0,,,,,2100,5.749486652977413
CPP,2010-01-11,0.0,0.0,,,,,2107,5.768651608487337
CPP,2010-01-18,0.0,0.0,,,,,2114,5.7878165639972625
CPP,2010-01-25,0.0,0.0,,,,,2121,5.806981519507187
CPP,2010-02-01,0.0,0.0,,,,,2128,5.8261464750171115
CPP,2010-02-08,0.0,0.0,,,,,2135,5.845311430527036
CPP,2010-02-15,0.0,0.0,,,,,2142,5.864476386036961
CPP,2010-02-22,0.0,0.0,,,,,2149,5.883641341546886
CPP,2010-03-01,0.0,0.0,,,,,2156,5.90280629705681
CPP,2010-03-08,0.0,0.0,,,,,2163,5.921971252566735
CPP,2010-03-15,0.0,0.0,,,,,2170,5.94113620807666
CPP,2010-03-22,36253.4023,4.559360749624646,,,,,2177,5.960301163586585
CPP,2010-03-29,0.0,0.0,,,,,2184,5.979466119096509
CPP,2010-04-05,0.0,0.0,,,,,2191,5.9986310746064335
CPP,2010-04-12,0.0,0.0,,,,,2198,6.017796030116359
CPP,2010-04-19,1066.2766,3.028276987640199,,,,,2205,6.036960985626283
CPP,2010-04-26,0.0,0.0,,,,,2212,6.056125941136208
CPP,2010-05-03,0.0,0.0,,,,,2219,6.075290896646133
CPP,2010-05-10,7463.936,3.8730260886898464,,,,,2226,6.094455852156058
CPP,2010-05-17,0.0,0.0,,,,,2233,6.113620807665982
CPP,2010-05-24,0.0,0.0,,,,,2240,6.132785763175907
CPP,2010-05-31,31988.2969,4.50500469473225,,,,,2247,6.151950718685832
CPP,2010-06-07,38385.957,4.584183686212531,,,,,2254,6.1711156741957565
CPP,2010-06-14,34120.8516,4.533032589841448,,,,,2261,6.190280629705681
CPP,2010-06-21,51181.2754,4.7091195893217375,,,,,2268,6.209445585215605
CPP,2010-06-28,61844.0429,4.79130489511384,,,,,2275,6.228610540725531
CPP,2010-07-05,130322.6934,5.1150233794688855,,,,,2282,6.247775496235455
CPP,2010-07-12,25590.637600000002,4.408098077129402,,,,,2289,6.26694045174538
CPP,2010-07-19,16586.5254,4.219781600895636,,,,,2296,6.286105407255304
CPP,2010-07-26,183399.57030000002,5.263400681812508,,,,,2303,6.30527036276523
CPP,2010-08-02,151411.27240000002,5.180161077407083,,,,,2310,6.324435318275154
CPP,2010-08-09,496884.9004,5.6962566734101445,,,,,2317,6.3436002737850785
CPP,2010-08-16,2132.5532,3.3291034764329126,,,,,2324,6.362765229295003
CPP,2010-08-23,29855.7437,4.4750424400186954,,,,,2331,6.381930184804928
CPP,2010-08-30,0.0,0.0,,,,,2338,6.401095140314853
CPP,2010-09-06,142881.0625,5.154977710622746,,,,,2345,6.420260095824777
CPP,2010-09-13,29855.7441,4.475042445837072,,,,,2352,6.439425051334703
CPP,2010-09-20,0.0,0.0,,,,,2359,6.458590006844627
CPP,2010-09-27,0.0,0.0,,,,,2366,6.477754962354552
CPP,2010-10-04,14927.8721,4.1740269973265125,,,,,2373,6.496919917864476
CPP,2010-10-11,38385.957,4.584183686212531,,,,,2380,6.5160848733744015
CPP,2010-10-18,0.0,0.0,,,,,2387,6.535249828884326
CPP,2010-10-25,8530.2129,3.931010780092535,,,,,2394,6.55441478439425
CPP,2010-11-01,23458.085,4.370311068853656,,,,,2401,6.573579739904175
CPP,2010-11-08,10662.7656,4.027910590293146,,,,,2408,6.5927446954141
CPP,2010-11-22,4265.1064,3.6300316828894594,,,,,2422,6.631074606433949
CPP,2010-11-29,19192.9785,4.283165003996114,,,,,2429,6.650239561943874
CPP,2011-01-24,8533.1689,3.931161233743838,,,,,2485,6.803559206023272
CPP,2011-01-31,725319.375,5.860529877414569,,,,,2492,6.822724161533197
CPP,2011-02-07,68265.3535,4.834206705296037,,,,,2499,6.841889117043121
CPP,2011-02-14,204796.0547,5.3113237065189525,,,,,2506,6.861054072553046
CPP,2011-02-21,8533.1689,3.931161233743838,,,,,2513,6.880219028062971
CPP,2011-02-28,392525.7754,5.5938692865891895,,,,,2520,6.899383983572895
CPP,2011-03-07,34132.6758,4.5331830592630435,,,,,2527,6.91854893908282
CPP,2011-03-28,0.0,0.0,,,,,2548,6.976043805612594
CPP,2011-04-04,0.0,0.0,,,,,2555,6.995208761122519
CPP,2011-04-11,375459.4375,5.574564181871118,,,,,2562,7.014373716632443
CPP,2011-04-18,21325.5318,4.32892023460606,,,,,2569,7.0335386721423685
CPP,2011-04-25,0.0,0.0,,,,,2576,7.052703627652293
CPP,2011-05-02,0.0,0.0,,,,,2583,7.0718685831622174
CPP,2011-05-16,0.0,0.0,,,,,2597,7.110198494182067
CPP,2011-05-30,0.0,0.0,,,,,2611,7.148528405201916
CPP,2011-06-06,0.0,0.0,,,,,2618,7.167693360711842
CPP,2011-06-20,0.0,0.0,,,,,2632,7.2060232717316905
CPP,2011-06-27,14927.8721,4.1740269973265125,,,,,2639,7.225188227241615
CPP,2011-07-11,44783.6167,4.65112886155177,,,,,2653,7.263518138261465
CPP,2011-07-25,117290.4257,5.069266265250385,,,,,2667,7.301848049281314
CPP,2011-08-08,166339.1484,5.2209970846024145,,,,,2681,7.340177960301164
CPP,2011-08-29,72506.8057,4.860384762294581,,,,,2702,7.397672826830938
CPP,2011-09-26,0.0,0.0,,,,,2730,7.474332648870637
CPP,2011-10-10,17066.3379,4.232165786756184,,,,,2744,7.512662559890486
CPP,2011-10-31,2380754.1758,6.376714737166367,,,,,2765,7.57015742642026
CPP,2011-11-14,1467705.125,6.1666391066240855,,,,,2779,7.60848733744011
CPP,2011-11-28,51199.0156,4.709270093299911,,,,,2793,7.646817248459959
CPP,2011-12-12,0.0,0.0,,,,,2807,7.685147159479809
CPP,2012-01-02,34120.8516,4.533032589841448,,,,,2828,7.742642026009582
CPP,2012-01-16,4265.1064,3.6300316828894594,,,,,2842,7.780971937029432
CPP,2012-01-30,2132.5532,3.3291034764329126,,,,,2856,7.819301848049282
CPP,2012-02-13,0.0,0.0,,,,,2870,7.857631759069131
CPP,2012-02-27,0.0,0.0,,,,,2884,7.8959616700889805
CPP,2012-03-19,19192.9785,4.283165003996114,,,,,2905,7.953456536618754
CPP,2012-04-02,6397.6597,3.806089013694315,,,,,2919,7.991786447638604
CPP,2012-04-16,0.0,0.0,,,,,2933,8.030116358658454
CPP,2012-04-30,4265.1064,3.6300316828894594,,,,,2947,8.068446269678303
CPP,2012-05-14,10662.7656,4.027910590293146,,,,,2961,8.106776180698152
CPP,2012-05-21,,,2.5,1.0,1.0,2.5,2968,8.125941136208077
CPP,2012-06-11,40518.5117,4.607664203043788,,,,,2989,8.183436002737851
CPP,2012-06-25,29855.7441,4.475042445837072,,,,,3003,8.2217659137577
CPP,2012-07-02,,,4.6,2.0,0.0,,3010,8.240930869267626
CPP,2012-07-09,59711.4883,4.77606516919623,,,,,3017,8.260095824777549
CPP,2012-07-23,2132.5532,3.3291034764329126,,,,,3031,8.2984257357974
CPP,2012-08-13,9062.3047,3.957286580820948,,,,,3052,8.355920602327172
CPP,2012-08-20,28786.1426,4.459198559124737,,,,,3059,8.375085557837098
CPP,2012-09-03,7996.1509,3.902935290892718,,,,,3073,8.413415468856947
CPP,2012-09-17,10661.5342,4.027860437174169,,,,,3087,8.451745379876797
CPP,2012-10-01,0.0,0.0,,,,,3101,8.490075290896646
CPP,2012-10-15,42646.13619999999,4.629889873151952,,,,,3115,8.528405201916495
CPP,2012-10-29,533.0767,2.727603631550572,2.5,1.0,1.0,2.5,3129,8.566735112936344
CPP,2012-11-12,2132.3069,3.3290533380508216,,,,,3143,8.605065023956195
CPP,2012-11-26,533.0767,2.727603631550572,,,,,3157,8.643394934976044
CPP,2012-12-03,2665.3835,3.425922613178305,,,,,3164,8.66255989048597
CPP,2012-12-10,0.0,0.0,,,,,3171,8.681724845995893
CPP,2012-12-31,533.0767,2.727603631550572,,,,,3192,8.739219712525667
CPP,2013-01-07,0.0,0.0,,,,,3199,8.758384668035593
CPP,2013-01-14,0.0,0.0,,,,,3206,8.777549623545516
CPP,2013-01-21,0.0,0.0,,,,,3213,8.796714579055442
CPP,2013-01-28,1066.1534,3.02822685240013,,,,,3220,8.815879534565367
CPP,2013-02-04,0.0,0.0,,,,,3227,8.83504449007529
CPP,2013-02-11,5863.8439,3.7682564573260886,,,,,3234,8.854209445585216
CPP,2013-02-18,1599.2302,3.2041824622799884,2.5,1.0,1.0,2.5,3241,8.873374401095141
CPP,2013-02-25,8529.2276,3.930960618987616,,,,,3248,8.892539356605065
CPP,2013-03-04,7996.1506,3.902935274600873,,,,,3255,8.91170431211499
CPP,2013-03-11,21323.0684,4.328870066916841,,,,,3262,8.930869267624914
CPP,2013-03-18,28253.0664,4.451080961464849,,,,,3269,8.950034223134839
CPP,2013-04-01,20789.99265,4.317875224883464,,,,,3283,8.988364134154688
CPP,2013-04-08,2132.3069,3.3290533380508216,,,,,3290,9.007529089664613
CPP,2013-04-15,79961.50779999999,4.902886406089187,,,,,3297,9.026694045174539
CPP,2013-04-22,44245.3662,4.645877609404689,,,,,3304,9.045859000684462
CPP,2013-04-29,17058.4556,4.231965167881424,,,,,3311,9.065023956194388
CPP,2013-05-06,43179.2148,4.635284798401702,,,,,3318,9.084188911704311
CPP,2013-05-13,167919.1641,5.225102849988884,,,,,3325,9.103353867214237
CPP,2013-05-20,381149.87309999997,5.581096918942933,,,,,3332,9.122518822724162
CPP,2013-05-27,360359.8594,5.556737613967087,,,,,3339,9.141683778234086
CPP,2013-06-03,38914.6023,4.590123756448473,,,,,3346,9.160848733744011
CPP,2013-06-17,1066.1534,3.02822685240013,,,,,3360,9.19917864476386
CPP,2013-06-24,813475.0918,5.910344793472125,,,,,3367,9.218343600273785
CPP,2013-07-01,427527.53130000003,5.630965102859943,,,,,3374,9.23750855578371
CPP,2013-07-08,533.0767,2.727603631550572,2.5,1.0,1.0,2.5,3381,9.256673511293634
CPP,2013-07-15,25054.605499999998,4.398904902473879,,,,,3388,9.27583846680356
CPP,2013-07-22,761233.5626,5.881518498487415,,,,,3395,9.295003422313483
CPP,2013-07-29,6396.920700000001,3.8060388528525197,,,,,3402,9.314168377823409
CPP,2013-08-05,176981.4687,5.24793024871246,,,,,3409,9.333333333333334
CPP,2013-08-12,42113.061499999996,4.6244271270051724,,,,,3416,9.352498288843258
CPP,2013-08-19,0.0,0.0,,,,,3423,9.371663244353183
CPP,2013-08-26,1599.2302,3.2041824622799884,,,,,3430,9.390828199863108
CPP,2013-09-02,45311.5205,4.656218220395838,,,,,3437,9.409993155373032
CPP,2013-09-09,108214.57819999999,5.034289784239203,,,,,3444,9.429158110882957
CPP,2013-09-16,313982.18740000005,5.496906393885667,,,,,3451,9.44832306639288
CPP,2013-09-23,848125.0312000001,5.9284603930441335,,,,,3458,9.467488021902806
CPP,2013-09-30,276133.7421,5.441121051163374,,,,,3465,9.486652977412732
CPP,2013-10-07,20256.916,4.30659476598712,,,,,3472,9.505817932922655
CPP,2013-10-14,2132.3069,3.3290533380508216,,,,,3479,9.52498288843258
CPP,2013-10-21,0.0,0.0,,,,,3486,9.544147843942506
CPP,2013-10-28,9062.3047,3.957286580820948,,,,,3493,9.56331279945243
CPP,2013-11-11,3731.5371,3.572004133140587,,,,,3507,9.60164271047228
CPP,2013-11-25,36782.29455,4.565650624869632,,,,,3521,9.639972621492129
CPP,2013-12-02,0.0,0.0,,,,,3528,9.659137577002053
CPP,2013-12-09,5330.7671,3.726871170487895,,,,,3535,9.678302532511978
CPP,2013-12-16,0.0,0.0,,,,,3542,9.697467488021903
CPP,2013-12-30,3198.4602999999997,3.5050767256637596,,,,,3556,9.735797399041752
CPP,2014-01-06,2132.3069,3.3290533380508216,,,,,3563,9.754962354551678
CPP,2014-01-13,0.0,0.0,,,,,3570,9.774127310061601
CPP,2014-01-20,0.0,0.0,,,,,3577,9.793292265571527
CPP,2014-01-27,0.0,0.0,,,,,3584,9.81245722108145
CPP,2014-02-17,799.6151,2.903423776856813,,,,,3605,9.869952087611225
CPP,2014-02-24,0.0,0.0,,,,,3612,9.88911704312115
CPP,2014-03-03,0.0,0.0,,,,,3619,9.908281998631075
CPP,2014-03-17,9595.3809,3.9821074776748184,,,,,3633,9.946611909650924
CPP,2014-03-24,54373.8242,4.735397865841437,,,,,3640,9.96577686516085
CPP,2014-04-07,56506.13279999999,4.752103271539108,,,,,3654,10.004106776180699
CPP,2014-04-14,212164.539,5.326674844987,,,,,3661,10.023271731690622
